iter	Passed	Remaining
0	126	126258
1	133	66508
2	138	45958
3	142	35584
4	153	30636
5	158	26178
6	163	23237
7	168	20872
8	177	19498
9	181	17955
10	185	16699
11	191	15730
12	193	14674
13	195	13781
14	197	12995
15	201	12380
16	203	11759
17	205	11195
18	206	10682
19	208	10211
20	209	9788
21	211	9407
22	213	9083
23	215	8770
24	216	8461
25	218	8177
26	219	7911
27	220	7662
28	221	7431
29	223	7218
30	224	7021
31	225	6835
32	228	6695
33	230	6537
34	231	6377
35	232	6227
36	233	6086
37	235	5952
38	236	5824
39	237	5704
40	238	5588
41	240	5478
42	242	5388
43	243	5297
44	245	5201
45	246	5108
46	247	5019
47	248	4934
48	250	4856
49	251	4778
50	252	4703
51	253	4630
52	256	4590
53	258	4529
54	260	4468
55	261	4408
56	262	4347
57	264	4288
58	265	4232
59	266	4177
60	267	4124
61	269	4072
62	271	4038
63	272	3989
64	274	3941
65	275	3895
66	276	3852
67	277	3809
68	279	3767
69	280	3726
70	281	3686
71	282	3647
72	285	3628
73	287	3593
74	288	3557
75	289	3522
76	291	3488
77	292	3455
78	293	3422
79	294	3389
80	296	3358
81	297	3327
82	297	3291
83	300	3274
84	302	3256
85	304	3231
86	305	3204
87	306	3179
88	308	3155
89	309	3130
90	310	3104
91	312	3080
92	316	3084
93	317	3062
94	319	3046
95	321	3026
96	322	3006
97	325	2994
98	327	2980
99	330	2970
100	331	2950
101	332	2930
102	334	2909
103	335	2888
104	336	2868
105	337	2849
106	339	2830
107	340	2811
108	341	2793
109	344	2783
110	346	2771
111	347	2753
112	348	2735
113	349	2718
114	351	2701
115	352	2684
116	353	2665
117	354	2649
118	355	2634
119	357	2618
120	359	2613
121	360	2597
122	362	2581
123	363	2566
124	364	2552
125	365	2538
126	366	2522
127	368	2508
128	369	2495
129	371	2483
130	373	2474
131	375	2466
132	376	2453
133	377	2440
134	378	2427
135	380	2414
136	381	2403
137	382	2390
138	384	2380
139	385	2368
140	386	2357
141	388	2349
142	390	2339
143	391	2329
144	393	2318
145	394	2308
146	396	2298
147	397	2288
148	398	2277
149	400	2267
150	401	2256
151	404	2256
152	405	2245
153	406	2235
154	408	2225
155	409	2215
156	410	2205
157	411	2195
158	413	2185
159	414	2176
160	415	2164
161	416	2154
162	418	2150
163	420	2141
164	421	2131
165	422	2122
166	423	2113
167	425	2104
168	426	2096
169	427	2087
170	428	2078
171	430	2070
172	432	2069
173	434	2062
174	435	2054
175	437	2047
176	438	2039
177	439	2031
178	441	2023
179	442	2015
180	443	2007
181	445	2000
182	447	1997
183	448	1990
184	450	1982
185	451	1974
186	452	1966
187	453	1959
188	454	1952
189	456	1944
190	457	1937
191	458	1930
192	460	1923
193	462	1919
194	463	1912
195	464	1905
196	465	1898
197	467	1891
198	468	1884
199	469	1877
200	470	1871
201	472	1864
202	473	1858
203	475	1856
204	477	1851
205	478	1845
206	480	1839
207	481	1833
208	482	1827
209	484	1822
210	485	1816
211	486	1809
212	488	1805
213	490	1800
214	491	1794
215	492	1788
216	494	1782
217	495	1776
218	496	1770
219	497	1764
220	499	1759
221	500	1753
222	501	1747
223	504	1747
224	505	1741
225	506	1735
226	508	1730
227	509	1725
228	510	1719
229	512	1714
230	513	1709
231	514	1703
232	515	1698
233	518	1698
234	520	1693
235	521	1688
236	522	1682
